display_name,seed,completed_epochs,test_accuracy,macro_precision,macro_recall,macro_f1,cumulative_training_validation_seconds,mean_completed_epoch_seconds,observed_peak_accelerator_memory_mb,process_lifetime_peak_rss_mb_diagnostic
EfficientNet-B0,42,31,0.9716312056737588,0.9728871585489232,0.9727105130093745,0.9724713380533154,2219.114980834999,71.58435422048387,185.580288,1128.464384
EfficientNet-B0,123,35,0.9645390070921985,0.9651686989013049,0.9656422132228584,0.9649107824720077,2590.0973025859985,74.00278007388567,181.673472,1073.676288
EfficientNet-B0,2026,27,0.9574468085106383,0.9591908945913394,0.958890168970814,0.9580232756483811,1962.6386183359996,72.69031919762962,183.421184,1073.676288
EfficientNet-B0,3407,28,0.9822695035460993,0.983502735024715,0.9831221198156683,0.9830623517393037,2038.1259994119982,72.79021426471422,183.421184,1073.676288
EfficientNet-B0,9103,35,0.9609929078014184,0.9596162275597759,0.9625796172167139,0.9595634850556647,2546.969935166012,72.77056957617177,183.421184,1073.676288
MobileNetV2,42,35,0.9184397163120568,0.9195487892488736,0.9204561022774248,0.9176600438570944,2334.7222079179955,66.70634879765701,134.71488,1235.288064
MobileNetV2,123,35,0.9361702127659575,0.9395865257320365,0.9391601304907756,0.9376752927080607,2313.692552664,66.1055015046857,114.393088,1235.288064
MobileNetV2,2026,27,0.8936170212765957,0.8950965959860648,0.8987484974439435,0.8932553734807878,1854.7705767459997,68.69520654614814,111.222784,829.0304
MobileNetV2,3407,35,0.9219858156028369,0.9227935117712158,0.9238185762992916,0.9223641080879218,2407.542741670998,68.78693547631423,113.076224,829.0304
MobileNetV2,9103,35,0.9184397163120568,0.9193636096413874,0.9226850882092817,0.9173715838838871,2395.450614373998,68.44144612497138,113.076224,829.0304
MobileNetV3-Large,42,29,0.9822695035460993,0.9836369648869648,0.9832273386708871,0.9833246538402158,1835.646132167,63.298142488517236,107.108352,1079.148544
MobileNetV3-Large,123,25,0.9929078014184397,0.9932598039215687,0.9930555555555556,0.9929937273862808,1589.6353397509997,63.58541359003999,181.774336,1079.148544
MobileNetV3-Large,2026,35,0.9893617021276596,0.9889169472502807,0.9899980194097842,0.9892309898549024,2293.8383288720033,65.53823796777152,107.108352,1128.464384
MobileNetV3-Large,3407,28,0.9787234042553191,0.981359649122807,0.9804623617123617,0.9800927467594135,1838.4791374159977,65.6599691934285,181.774336,1128.464384
MobileNetV3-Large,9103,35,0.9822695035460993,0.9808986928104575,0.982936507936508,0.981346203454213,2271.755335377994,64.90729529651412,181.774336,1128.464384
ShuffleNetV2,42,35,0.925531914893617,0.9320987877909784,0.928920832751478,0.9184726269051097,2104.1532463739977,60.11866418211422,59.712512,1152.36864
ShuffleNetV2,123,35,0.950354609929078,0.9550432785726903,0.9534391534391534,0.9466653225922115,2104.074701163999,60.11642003325712,50.39616,1148.174336
ShuffleNetV2,2026,35,0.9078014184397163,0.915518655592185,0.9130726427097395,0.9014950556967884,2260.5789901649973,64.58797114757135,50.39616,1159.49568
ShuffleNetV2,3407,35,0.9397163120567376,0.9415076204805806,0.94230845319555,0.9346931958346565,2303.9610430830035,65.8274583738001,136.3264,1176.256512
ShuffleNetV2,9103,35,0.9432624113475178,0.944404697953085,0.9467675022110507,0.9407182413246411,2230.9870897909987,63.742488279742815,136.3264,1215.479808
