Model,Seed,Class,Precision,Recall,F1,Support
MobileNetV2,2026,36 hr Mutton,0.7666666666666667,1.0,0.8679245283018868,23.0
MobileNetV2,2026,36+ hr Beef,0.9375,0.8823529411764706,0.9090909090909091,34.0
MobileNetV2,2026,48 hr Mutton,0.8857142857142857,0.96875,0.9253731343283582,32.0
MobileNetV2,3407,0 hr Beef,0.9393939393939394,1.0,0.96875,31.0
MobileNetV2,3407,0 hr Mutton,0.90625,0.9354838709677419,0.9206349206349206,31.0
MobileNetV2,3407,12 hr Beef,1.0,0.9354838709677419,0.9666666666666667,31.0
MobileNetV2,3407,12 hr Mutton,0.9032258064516129,0.875,0.8888888888888888,32.0
MobileNetV2,3407,24 hr Beef,0.8823529411764706,0.8571428571428571,0.8695652173913043,35.0
MobileNetV2,3407,24 hr Mutton,0.875,0.8484848484848485,0.8615384615384616,33.0
MobileNetV2,3407,36 hr Mutton,0.88,0.9565217391304348,0.9166666666666666,23.0
MobileNetV2,3407,36+ hr Beef,0.918918918918919,1.0,0.9577464788732394,34.0
MobileNetV2,3407,48 hr Mutton,1.0,0.90625,0.9508196721311475,32.0
MobileNetV2,42,0 hr Beef,0.9375,0.967741935483871,0.9523809523809523,31.0
MobileNetV2,42,0 hr Mutton,0.8857142857142857,1.0,0.9393939393939394,31.0
MobileNetV2,42,12 hr Beef,1.0,0.8709677419354839,0.9310344827586207,31.0
MobileNetV2,42,12 hr Mutton,0.9642857142857143,0.84375,0.9,32.0
MobileNetV2,42,24 hr Beef,0.9411764705882353,0.9142857142857143,0.927536231884058,35.0
MobileNetV2,42,24 hr Mutton,0.8235294117647058,0.8484848484848485,0.835820895522388,33.0
MobileNetV2,42,36 hr Mutton,0.8148148148148148,0.9565217391304348,0.88,23.0
MobileNetV2,42,36+ hr Beef,0.967741935483871,0.8823529411764706,0.9230769230769231,34.0
MobileNetV2,42,48 hr Mutton,0.9411764705882353,1.0,0.9696969696969697,32.0
MobileNetV2,9103,0 hr Beef,0.9375,0.967741935483871,0.9523809523809523,31.0
MobileNetV2,9103,0 hr Mutton,0.8857142857142857,1.0,0.9393939393939394,31.0
MobileNetV2,9103,12 hr Beef,0.9333333333333333,0.9032258064516129,0.9180327868852459,31.0
MobileNetV2,9103,12 hr Mutton,0.9285714285714286,0.8125,0.8666666666666667,32.0
MobileNetV2,9103,24 hr Beef,0.9629629629629629,0.7428571428571429,0.8387096774193549,35.0
MobileNetV2,9103,24 hr Mutton,0.8333333333333334,0.9090909090909091,0.8695652173913043,33.0
MobileNetV2,9103,36 hr Mutton,0.8214285714285714,1.0,0.9019607843137255,23.0
MobileNetV2,9103,36+ hr Beef,0.9714285714285714,1.0,0.9855072463768116,34.0
MobileNetV2,9103,48 hr Mutton,1.0,0.96875,0.9841269841269841,32.0
MobileNetV3-Large,123,0 hr Beef,1.0,1.0,1.0,31.0
MobileNetV3-Large,123,0 hr Mutton,1.0,1.0,1.0,31.0
MobileNetV3-Large,123,12 hr Beef,0.96875,1.0,0.9841269841269841,31.0
MobileNetV3-Large,123,12 hr Mutton,1.0,0.9375,0.967741935483871,32.0
MobileNetV3-Large,123,24 hr Beef,1.0,1.0,1.0,35.0
MobileNetV3-Large,123,24 hr Mutton,0.9705882352941176,1.0,0.9850746268656716,33.0
MobileNetV3-Large,123,36 hr Mutton,1.0,1.0,1.0,23.0
MobileNetV3-Large,123,36+ hr Beef,1.0,1.0,1.0,34.0
MobileNetV3-Large,123,48 hr Mutton,1.0,1.0,1.0,32.0
MobileNetV3-Large,2026,0 hr Beef,1.0,1.0,1.0,31.0
MobileNetV3-Large,2026,0 hr Mutton,1.0,1.0,1.0,31.0
MobileNetV3-Large,2026,12 hr Beef,1.0,1.0,1.0,31.0
MobileNetV3-Large,2026,12 hr Mutton,0.9696969696969697,1.0,0.9846153846153847,32.0
MobileNetV3-Large,2026,24 hr Beef,0.9722222222222222,1.0,0.9859154929577465,35.0
MobileNetV3-Large,2026,24 hr Mutton,1.0,0.9393939393939394,0.96875,33.0
MobileNetV3-Large,2026,36 hr Mutton,0.9583333333333334,1.0,0.9787234042553191,23.0
MobileNetV3-Large,2026,36+ hr Beef,1.0,0.9705882352941176,0.9850746268656716,34.0
MobileNetV3-Large,2026,48 hr Mutton,1.0,1.0,1.0,32.0
MobileNetV3-Large,3407,0 hr Beef,1.0,1.0,1.0,31.0
MobileNetV3-Large,3407,0 hr Mutton,0.96875,1.0,0.9841269841269841,31.0
MobileNetV3-Large,3407,12 hr Beef,0.96875,1.0,0.9841269841269841,31.0
MobileNetV3-Large,3407,12 hr Mutton,1.0,0.96875,0.9841269841269841,32.0
MobileNetV3-Large,3407,24 hr Beef,1.0,0.8857142857142857,0.9393939393939394,35.0
MobileNetV3-Large,3407,24 hr Mutton,1.0,0.9696969696969697,0.9846153846153847,33.0
MobileNetV3-Large,3407,36 hr Mutton,1.0,1.0,1.0,23.0
MobileNetV3-Large,3407,36+ hr Beef,0.8947368421052632,1.0,0.9444444444444444,34.0
MobileNetV3-Large,3407,48 hr Mutton,1.0,1.0,1.0,32.0
MobileNetV3-Large,42,0 hr Beef,1.0,1.0,1.0,31.0
MobileNetV3-Large,42,0 hr Mutton,0.96875,1.0,0.9841269841269841,31.0
MobileNetV3-Large,42,12 hr Beef,1.0,0.967741935483871,0.9836065573770492,31.0
MobileNetV3-Large,42,12 hr Mutton,1.0,0.96875,0.9841269841269841,32.0
MobileNetV3-Large,42,24 hr Beef,0.9428571428571428,0.9428571428571428,0.9428571428571428,35.0
MobileNetV3-Large,42,24 hr Mutton,0.9696969696969697,0.9696969696969697,0.9696969696969697,33.0
MobileNetV3-Large,42,36 hr Mutton,1.0,1.0,1.0,23.0
MobileNetV3-Large,42,36+ hr Beef,0.9714285714285714,1.0,0.9855072463768116,34.0
MobileNetV3-Large,42,48 hr Mutton,1.0,1.0,1.0,32.0
MobileNetV3-Large,9103,0 hr Beef,0.96875,1.0,0.9841269841269841,31.0
MobileNetV3-Large,9103,0 hr Mutton,0.96875,1.0,0.9841269841269841,31.0
MobileNetV3-Large,9103,12 hr Beef,1.0,1.0,1.0,31.0
MobileNetV3-Large,9103,12 hr Mutton,1.0,0.90625,0.9508196721311475,32.0
MobileNetV3-Large,9103,24 hr Beef,1.0,0.9714285714285714,0.9855072463768116,35.0
MobileNetV3-Large,9103,24 hr Mutton,0.9705882352941176,1.0,0.9850746268656716,33.0
MobileNetV3-Large,9103,36 hr Mutton,0.92,1.0,0.9583333333333334,23.0
MobileNetV3-Large,9103,36+ hr Beef,1.0,1.0,1.0,34.0
MobileNetV3-Large,9103,48 hr Mutton,1.0,0.96875,0.9841269841269841,32.0
ShuffleNetV2,123,0 hr Beef,1.0,1.0,1.0,31.0
ShuffleNetV2,123,0 hr Mutton,1.0,1.0,1.0,31.0
ShuffleNetV2,123,12 hr Beef,1.0,1.0,1.0,31.0
ShuffleNetV2,123,12 hr Mutton,1.0,1.0,1.0,32.0
ShuffleNetV2,123,24 hr Beef,1.0,0.9142857142857143,0.9552238805970149,35.0
ShuffleNetV2,123,24 hr Mutton,1.0,0.6666666666666666,0.8,33.0
ShuffleNetV2,123,36 hr Mutton,0.6764705882352942,1.0,0.8070175438596491,23.0
ShuffleNetV2,123,36+ hr Beef,0.918918918918919,1.0,0.9577464788732394,34.0
ShuffleNetV2,123,48 hr Mutton,1.0,1.0,1.0,32.0
ShuffleNetV2,2026,0 hr Beef,0.96875,1.0,0.9841269841269841,31.0
ShuffleNetV2,2026,0 hr Mutton,0.9393939393939394,1.0,0.96875,31.0
ShuffleNetV2,2026,12 hr Beef,0.9666666666666667,0.9354838709677419,0.9508196721311475,31.0
ShuffleNetV2,2026,12 hr Mutton,0.7380952380952381,0.96875,0.8378378378378378,32.0
ShuffleNetV2,2026,24 hr Beef,1.0,0.8285714285714286,0.90625,35.0
ShuffleNetV2,2026,24 hr Mutton,0.9411764705882353,0.48484848484848486,0.64,33.0
ShuffleNetV2,2026,36 hr Mutton,0.7666666666666667,1.0,0.8679245283018868,23.0
ShuffleNetV2,2026,36+ hr Beef,0.918918918918919,1.0,0.9577464788732394,34.0
ShuffleNetV2,2026,48 hr Mutton,1.0,1.0,1.0,32.0
ShuffleNetV2,3407,0 hr Beef,0.9393939393939394,1.0,0.96875,31.0
ShuffleNetV2,3407,0 hr Mutton,0.96875,1.0,0.9841269841269841,31.0
ShuffleNetV2,3407,12 hr Beef,0.9666666666666667,0.9354838709677419,0.9508196721311475,31.0
ShuffleNetV2,3407,12 hr Mutton,0.967741935483871,0.9375,0.9523809523809523,32.0
ShuffleNetV2,3407,24 hr Beef,1.0,0.9714285714285714,0.9855072463768116,35.0
ShuffleNetV2,3407,24 hr Mutton,0.9545454545454546,0.6363636363636364,0.7636363636363637,33.0
ShuffleNetV2,3407,36 hr Mutton,0.6764705882352942,1.0,0.8070175438596491,23.0
ShuffleNetV2,3407,36+ hr Beef,1.0,1.0,1.0,34.0
ShuffleNetV2,3407,48 hr Mutton,1.0,1.0,1.0,32.0
ShuffleNetV2,42,0 hr Beef,0.9117647058823529,1.0,0.9538461538461539,31.0
ShuffleNetV2,42,0 hr Mutton,0.96875,1.0,0.9841269841269841,31.0
ShuffleNetV2,42,12 hr Beef,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
ShuffleNetV2,42,12 hr Mutton,0.8857142857142857,0.96875,0.9253731343283582,32.0
ShuffleNetV2,42,24 hr Beef,1.0,0.9428571428571428,0.9705882352941176,35.0
ShuffleNetV2,42,24 hr Mutton,1.0,0.5454545454545454,0.7058823529411765,33.0
ShuffleNetV2,42,36 hr Mutton,0.6571428571428571,1.0,0.7931034482758621,23.0
ShuffleNetV2,42,36+ hr Beef,1.0,1.0,1.0,34.0
ShuffleNetV2,42,48 hr Mutton,1.0,1.0,1.0,32.0
ShuffleNetV2,9103,0 hr Beef,1.0,1.0,1.0,31.0
ShuffleNetV2,9103,0 hr Mutton,0.9393939393939394,1.0,0.96875,31.0
ShuffleNetV2,9103,12 hr Beef,1.0,0.967741935483871,0.9836065573770492,31.0
ShuffleNetV2,9103,12 hr Mutton,0.9393939393939394,0.96875,0.9538461538461539,32.0
ShuffleNetV2,9103,24 hr Beef,1.0,0.8571428571428571,0.9230769230769231,35.0
ShuffleNetV2,9103,24 hr Mutton,0.96,0.7272727272727273,0.8275862068965517,33.0
ShuffleNetV2,9103,36 hr Mutton,0.7419354838709677,1.0,0.8518518518518519,23.0
ShuffleNetV2,9103,36+ hr Beef,0.918918918918919,1.0,0.9577464788732394,34.0
ShuffleNetV2,9103,48 hr Mutton,1.0,1.0,1.0,32.0
