,test_accuracy,test_accuracy,test_accuracy,macro_precision,macro_precision,macro_precision,macro_recall,macro_recall,macro_recall,macro_f1,macro_f1,macro_f1,cumulative_training_validation_seconds,cumulative_training_validation_seconds,cumulative_training_validation_seconds,mean_completed_epoch_seconds,mean_completed_epoch_seconds,mean_completed_epoch_seconds,observed_peak_accelerator_memory_mb,observed_peak_accelerator_memory_mb,observed_peak_accelerator_memory_mb
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
display_name,,,,,,,,,,,,,,,,,,,,,
EfficientNet-B0,0.9673758865248226,0.009840026188306105,5,0.9680731429252116,0.010248129180893458,5,0.9685889264470859,0.009579431064977923,5,0.9676062465937345,0.010324063799084114,5,2271.3893672670015,287.2241427283727,5,72.76764746657703,0.8561881983781047,5,183.50346240000002,1.385855209088161,5
MobileNetV2,0.9177304964539008,0.015334573269815386,5,0.9192778064759157,0.0158872275440702,5,0.9209736789441434,0.014456797370224274,5,0.9176652804035503,0.015956263778521926,5,2261.235738674598,230.64327344527916,5,67.7470876899553,1.2490285291129435,5,117.29664,9.802311564742674,5
MobileNetV3-Large,0.9851063829787234,0.005826835718140074,5,0.9856144115984158,0.005329401195592777,5,0.9859359566570193,0.005326410327870792,5,0.9853976642590052,0.005505642938939275,5,1965.870854716799,306.5404827811138,5,64.59781170725428,1.0980038928436335,5,151.9079424,40.89624371511981,5
ShuffleNetV2,0.9333333333333333,0.016895218793718594,5,0.9377146080779039,0.014862913669475062,5,0.9369017168613943,0.016059052065867368,5,0.9284088884706815,0.018353431300730246,5,2200.7510141153994,91.95563507535097,5,62.87860040329713,2.6273038592957367,5,86.63152640000001,45.52416341019311,5
