Model,Accuracy mean (%),Accuracy SD (%),Accuracy 95% CI low (%),Accuracy 95% CI high (%),Accuracy manuscript,Macro precision mean (%),Macro precision SD (%),Macro precision 95% CI low (%),Macro precision 95% CI high (%),Macro precision manuscript,Macro recall mean (%),Macro recall SD (%),Macro recall 95% CI low (%),Macro recall 95% CI high (%),Macro recall manuscript,Macro F1 mean (%),Macro F1 SD (%),Macro F1 95% CI low (%),Macro F1 95% CI high (%),Macro F1 manuscript
EfficientNet-B0,96.73758865248226,0.9840026188306088,95.51578802654207,97.95938927842245,96.74 ± 0.98,96.80731429252117,1.0248129180893444,95.53484098723548,98.07978759780686,96.81 ± 1.02,96.85889264470858,0.9579431064977925,95.6694491770428,98.04833611237436,96.86 ± 0.96,96.76062465937346,1.03240637990841,95.4787228259253,98.04252649282162,96.76 ± 1.03
MobileNetV2,91.77304964539007,1.5334573269815392,89.86901088969532,93.67708840108483,91.77 ± 1.53,91.92778064759156,1.588722754407018,89.95512080031725,93.90044049486588,91.93 ± 1.59,92.09736789441435,1.445679737022424,90.30231941202092,93.89241637680777,92.10 ± 1.45,91.76652804035504,1.5956263778521909,89.7852962123917,93.74775986831838,91.77 ± 1.60
MobileNetV3-Large,98.51063829787233,0.5826835718140055,97.7871410844061,99.23413551133856,98.51 ± 0.58,98.56144115984158,0.5329401195592783,97.89970860018641,99.22317371949674,98.56 ± 0.53,98.59359566570193,0.5326410327870815,97.93223447132414,99.25495686007972,98.59 ± 0.53,98.53976642590052,0.5505642938939262,97.85615056347596,99.22338228832508,98.54 ± 0.55
ShuffleNetV2,93.33333333333334,1.6895218793718585,91.23551484153974,95.43115182512695,93.33 ± 1.69,93.77146080779038,1.4862913669475075,91.9259863266106,95.61693528897015,93.77 ± 1.49,93.69017168613944,1.6059052065867339,91.6961770065927,95.68416636568617,93.69 ± 1.61,92.84088884706816,1.8353431300730199,90.56200935810588,95.11976833603043,92.84 ± 1.84
