seed,EfficientNet-B0 value,MobileNetV2 value,MobileNetV3-Large value,ShuffleNetV2 value,EfficientNet-B0 rank,MobileNetV2 rank,MobileNetV3-Large rank,ShuffleNetV2 rank
42,0.9724713380533154,0.9176600438570944,0.9833246538402158,0.9184726269051097,2.0,4.0,1.0,3.0
123,0.9649107824720077,0.9376752927080607,0.9929937273862808,0.9466653225922115,2.0,4.0,1.0,3.0
2026,0.9580232756483811,0.8932553734807878,0.9892309898549024,0.9014950556967884,2.0,4.0,1.0,3.0
3407,0.9830623517393037,0.9223641080879218,0.9800927467594135,0.9346931958346565,1.0,4.0,2.0,3.0
9103,0.9595634850556647,0.9173715838838871,0.981346203454213,0.9407182413246411,2.0,4.0,1.0,3.0
